"CID","Result","query"
"12358480","WHITE, CRYSTALLINE SOLID.
Colorless to tan, crystalline solid ....
Odorless.
... Mild, chemical odor..
Reported BPs:  Decomposes (NTP, 1992); 245 °C (decomposes); Decomposes.
Reported MPs:  Decomposes at 473 °F. (EPA, 1998); Approximately 200 °C (rearranges above that point); 200 °C; 473 °F (decomposes); 392 °F (Decomposes).
Decomposes above 200 °C..
245 °C","ENDRIN"
"12433","Hygroscopic crystals.
Reported BPs:  232-234 °C (decomposition); BP: 195 °C at 250 mm Hg; 130 °C at 16 mm Hg.
Reported MPs:  48 °C.
When heated to decomposition it emits toxic vapors of /bromide./","Dibromoacetic acid"
"12580","Reported BPs:  232.00 to 233.00 °C. @ 760.00 mm Hg.
Reported MPs:  21 - 22 °C","4-N-PROPYLPHENOL"
"1349907","LEAFLETS FROM ALCOHOL.
WHITE TO PALE BUFF, CRYSTALLINE SUBSTANCE; STARCH-LIKE IN APPEARANCE & TO TOUCH.
FAINT, CHARACTERISTIC.
Reported BPs:  280 °C WITH SOME DECOMP.
Reported MPs:  143-146 °C; 146-148 °C; 146 °C.
When heated to decomposition it emits very toxic fumes of nitroxides and sulfoxides.","METHIMAZOLE"
"13836","White cyrstalline solid.
Colorless crystals.
TYPICAL AMINE ODOR.
Fish-like odor.
Reported MPs:  473 °F Decomposes (EPA, 1998); 239 °C (decomposes).
245 °C","CHLORMEQUAT CHLORIDE"
"1480","WHITE SOLID.
LIGHT TAN SOLID.
Colorless to tan crystalline solid..
Odorless.
Odorless..
Reported BPs:  Decomposes (NTP, 1992); Decomposes; No boiling point at normal pressure; decomposes on heating; decomposes.
Reported MPs:  316 °F (NTP, 1992); 153 °C; 153-158 °C; 316 °F; 307 °F.
Toxic gases and vapors /which include/: hydrogen chloride and carbon monoxide..
When heated to decomp it emits toxic fumes of /hydrogen chloride/.","2,4,5-T"
"1486","White to yellow crystalline powder /SRP: yellow color is phenolic impurities/.
Colorless powder.
White to yellow, crystalline ... powder.
Crystals from benzene.
Oodorless.
A slight phenolic odor.
Reported BPs:  Decomposes (NTP, 1992); BP: 160 °C at 4 mm Hg; No boiling point at normal pressure; decomposes on heating; decomposes; Decomposes.
Reported MPs:  280 °F (NTP, 1992); 138 °C; 140.5 °C; 140 °C; 280 °F.
When heated to decomposition it emits toxic fumes of /chlorides/.","2,4-D"
"15530","Colorless crystalline solid.
Faint phenolic /tech grade/.
Odorless when pure.
Reported BPs:  Sublimes at circa 140 °C/0.1 mm Hg.
Reported MPs:  212-213 °C; CREAM POWDER; FAINT PHENOLIC ODOR; MELTING POINT: 200 °C /TECHNICAL PRODUCT/.
When heated to decomposition ... emits toxic fumes of /hydrogen iodide and hydrogen chloride/.","IOXYNIL"
"15558638","Reported BPs:  165-170; at 0.05kPa: 153 °C","D-TRANS-ALLETHRIN"
"15559699","Reported MPs:  160-161.5 °C.
Decomposition products: Toxic gases and vapors which include: hydrogen chloride, and carbon monoxide. /Heptachlor/.
When heated to decomposition, it emits highly toxic fumes of /hydrogen chloride/.","HEPTACHLOR EPOXIDE"
"156614068","Dark brown liquid.
Reported BPs:  138-140 °C (0.05 mm Hg); at 0.007kPa: 138-140 °C","DINOCAP"
"15730","Reported BPs:  280 °C.
Reported MPs:  44-45 °C.
...HEAT IS SAID TO DECOMPOSE /OCTYL PHENOLS/...WITH THE RELEASE OF DANGEROUS FUMES OF PHENOL. /OCTYL PHENOLS/","1-(P-HYDROXYPHENYL)OCTANE"
"15767","Reported MPs:  226 to 228 °F (NTP, 1992); 108-110 °C","PENTACHLOROANISOLE"
"15787","Crystalline solid.
White solid.
Crystals.
Yellow crystalline solid.
Free-flowing solid, dark brown color.
Reported BPs:  356 to 374 °F at 0.25 mmHg (NTP, 1992); BP: 180-190 °C at 0.25 mm Hg; at 101.3kPa: 368 °C.
Reported MPs:  158 to 160 °F (NTP, 1992); 70-71 °C; 70 °C.
When heated to decomp it emits very toxic fumes of /hydrogen chloride and nitrogen oxides./","NITROFEN"
"15965","White powder.
Crystalline solid.
Colorless to white crystals.
Chlorine-like odor.
Reported BPs:  Decomposes (NIOSH, 2024); decomposes; Decomposes.
Reported MPs:  392 °F (decomposes) (NTP, 1992); 218.5 °C; MP: 218-219 °C, with decomposition starting at 190 °C. Readily sublimes at 190 °C under 12 mm Hg.; No melting point; decomposes at 190 °C; 392 °F (decomposes); 424 °F (Decomposes).
When heated to decomposition it emits very toxic fumes of /hydrogen chloride and nitrogen oxides/..
In aqueous solution, decomposed by UV irradiation","PICLORAM"
"1639","Transparent to off white crystalline powder.
Odorless when pure..
Reported MPs:  318 °F (NTP, 1992); 159 °C; MP: 150-153 °C. /TECHNICAL GRADE/; MP: 153-159 °C. /TECHNICAL GRADE/; 318 °F.
When strongly heated it emits highly toxic fumes of /nitrogen oxides/.","AMITROLE"
"16653","Clear liquid.
Amber liquid.
Aromatic.
Reported BPs:  136.5 °C @ 10 mm Hg.
When heated to decomposition it emits very toxic fumes of /nitrogen oxides and sulfur oxides/.","MOLINATE"
"16682746","Slightly yellow liquid..
Weak odor.
Reported BPs:  356 °F at 2 mmHg (NTP, 1992); 180 °C at 2 mm Hg.; 180 °C.
Reported MPs:  45 °C.
When heated to decomposition it emits acrid and irritating fumes.","BIS(TRIBUTYLTIN) OXIDE"
"16682828","Reported BPs:  >300 °C /Extrapolated/.
Reported MPs:  16 °C.
When heated to decomposition it emits acrid smoke and irritating fumes.","TRIBUTYLTIN METHACRYLATE"
"16720","Colorless prisms.
Reported BPs:  Sublimes (NTP, 1992); Boiling point: sublimes; sublimes.
Reported MPs:  374 °F (NTP, 1992); 190 °C; 187 °C.
When heated to decomposition it emits toxic fumes of /nitrogen oxide/.","1,5-NAPHTHALENEDIAMINE"
"16945","Snow-white crystals from benzene.
Odorless.
Reported BPs:  905 °F at 1 mmHg (Sublimes with decomposition) (NTP, 1992).
Reported MPs:  905 °F (decomposes) (NTP, 1992); 485 °C (decomposes).
Decomposes above 500 °C to give hexachlorobenzene; hexachloropentadiene was found in small amounts in the thermal residue; the products identified from vapor phase were carbon monoxide, carbon dioxide, hydrogen chloride, chlorine, carbon tetrachloride, & phosgene.","MIREX"
"1752","Viscous, yellow liquid.
Reported BPs:  317 °C; Pale-yellow, viscous liquid; slight phenolic odor. Specific gravity: 0.950 at 20 °C/20 °C. BP: 293 °C. FP: -10 °C (sets to glass below this temperature). Viscosity: 563 cP at 20 °C... Insoluble in water; soluble in most organic solvents /Nonylphenol, 25154-52-3/.
Reported MPs:  42 °C; 41 - 42.5 °C.
When heated to decomposition it emits acrid smoke and irritating vapors.","4-NONYLPHENOL"
"17734","Dark-blue microcrystals or blue-black amorphous powder.
Reported MPs:  215 to 219 °F (NTP, 1992); 101.5-104 °C","HC BLUE 1"
"18752","White crystals.
Colorless crystals.
Reported MPs:  144.2 °C; MP: 143-144 °C (decomposes).
When heated to decomposition it emits very toxic fumes of /nitrogen oxides and sulfur oxides/.","4-AMINO-BENZOLSULFONYL-METHYLCARBAMAT"
"1988","Clear, viscous liquid.
Pale straw-colored oil.
Thick, oily liquid, light amber to violet.
Aromatic odor.
Reported BPs:  BP: 172 °C at 5 mm Hg; BP: 134 °C at 0.4 torr.
Reported MPs:  10.6 °C.
When heated to decomposition it emits toxic vapors of /nitrogen oxides and hydrogen chloride/.","ACETOCHLOR"
"20393","Reported BPs:  greater than 572 °F at 760 mmHg (NTP, 1992)","Mono-2-ethylhexyl phthalate"
"2078","Colorless to white crystalline solid.
Cream to wine-red colored solid.
Colorless to yellow crystals.
Odorless.
Reported BPs:  100 °C at 0.02 mm Hg; 135 °C at 0.3 mm Hg; at 101.3kPa: >400 °C; 212 °F at 0.02 mmHg.
Reported MPs:  40-41 °C; Colorless crystals; MW: 269.77; MP: 39.5-41.5 °C; specific gravity 1.133 at 25 °C/15.6 °C. /Technical alachlor/; 39.5 - 41.5 °C; 40 °C; 104-106 °F.
When heated to decomposition it emits very toxic fumes of /hydrogen chloride and nitrogen oxides/.","ALACHLOR"
"2153","White, crystalline alkaloid.
White crystalline powder.
Needles or plates (water +1).
Odorless.
Reported MPs:  522 to 525 °F (NTP, 1992); 273 °C; 274 °C; 270-274 °C.
When heated to decomposition it emits toxic fumes of /nitrogen oxides/.","THEOPHYLLINE"
"2157","Reported BPs:  100.
Reported MPs:  156","AMIODARONE"
"2170","Reported MPs:  175-176; 175.5 °C","AMOXAPINE"
"21852","PALE YELLOW LIQ","IODINATED GLYCEROL"
"2256","Colorless powder.
Colorless or white, crystalline powder.
Odorless.
Reported BPs:  Decomposes (NIOSH, 2024); 205 °C/101 kPa; No boiling point at normal pressure; decomposes on heating; decomposes; Decomposes.
Reported MPs:  347 to 351 °F (NTP, 1992); 177.0 °C; 173 °C; 173-177 °C; 340 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides, nitrogen oxides (NOx), hydrogen chloride gas..
Decomposes on heating. This produces toxic fumes including hydrogen chloride and nitrogen oxides..
When heated to decomposition it emits toxic fumes of /hydrogen chloride/ and nitrous oxides..
DT50 (pH 1) 9.5, (pH 5) 86, (pH 13) 5.0 days","ATRAZINE"
"2336","Pale yellow monoclinic needles from benzene and methanol.
Yellowish plates, needles from benzene + methanol; crystals may be monoclinic or orthorhombic.
Yellowish plates (from benzene and ligroin).
Faint aromatic odor.
Reported BPs:  887 °F at 760 mmHg (NTP, 1992); BP: 310-312 °C at 10 mm Hg; Boiling point: > 360 °C at 760 mm Hg; 496 °C; 5612 °F.
Reported MPs:  349.7 to 351.5 °F (NTP, 1992); 179 °C; 178.1 °C; 3497-3515 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides.[Sigma-Aldrich; Safety Data Sheet for Benzo.
When heated to decomposition it emits acrid smoke and fumes.","BENZO(A)PYRENE"
"2347","Clear, oil liquid.
Slight odor.
Reported BPs:  698 °F at 760 mmHg (NTP, 1992); 370 °C.
Reported MPs:  less than -31 °F (NTP, 1992); -35 °C.
When heated to decomposition, it emits acrid smoke and irritating fumes.","BENZYL BUTYL PHTHALATE"
"23931","Silver-white, heavy, mobile, liquid metal; solid mercury is tin-white.
Metal: silver-white, heavy liquid..
Odorless.
Reported BPs:  675 °F at 760 mmHg (USCG, 1999); 356.73 °C; 357 °C; 266 °F; 674 °F.
Reported MPs:  -38 °F (USCG, 1999); -38.87 °C; -39 °C; -38 °F","MERCURY"
"23969","Colorless gas.
Colorless gas ... [Note: Shipped as a liquefied compressed gas]..
Disagreeable garlic odor.
Reported BPs:  -80.4 °F at 760 mmHg (EPA, 1998); -62.5 °C; -62 °C; -81 °F.
Reported MPs:  -179 °F (EPA, 1998); -116 °C; -179 °F.
When heated to decomposition it emits highly toxic fumes of /arsenic/..
Decomposition product: arsenic when arsine is heated to decomposition point; arsenic when arsine is exposed to light..
Decomposition point: 300 °C","ARSINE"
"23973","Silvery-white metal.
Soft, bluish-white metal.
Silver-white, blue-tinged, lustrous metal; distorted hexagonal close-packed structure; easily cut with a knife; available in the form of bars, sheets or wire or a gray, granular powder.
Hexagonal, ductile crystals or soft, silver-white, lustrous metal.
Odorless.
Reported BPs:  1409 °F at 760 mmHg (NTP, 1992); 1409 °F; 767 °C; 765 °C.
Reported MPs:  609.6 °F (NTP, 1992); 610 °F; 32.0691 °C; 321 °C","CADMIUM"
"24085","Colorless rhombic crystals or white powder.
White crystal or powder.
White orthombic crystals.
Odorless.
Reported BPs:  576 °F at 760 mmHg (EPA, 1998); 302 °C.
Reported MPs:  529 °F (EPA, 1998); 277 °C; 276 °C","MERCURY CHLORIDE (2)"
"241","Clear, colorless liquid.
Orthorhombic prisms or liquid.
Colorless to light-yellow liquid [Note: A solid below 42 degrees F].
Aromatic odor.
Gasoline-like odor; rather pleasant aromatic odor. Odor threshold = 4.68 ppm..
Reported BPs:  176.2 °F at 760 mmHg (NTP, 1992); 80.08 °C; 80.00 to 81.00 °C. @ 760.00 mm Hg; 80 °C; 176.2 °F; 176 °F.
Reported MPs:  41.9 °F (NTP, 1992); 5.558 °C; 5.5 °C; 6 °C; 41.9 °F; 42 °F","BENZENE"
"24261","Amorphous powder.
Transparent to gray powder (Note: Amorphous silica is the non-crystalline form of O2Si). ... solid.
Silica gel is a coherent, rigid, continuous three-dimensional network of spherical particles of colloidal microporous silica..
Transparent crystals.
Odorless.
Reported BPs:  4046 °F at 760 mmHg (NIOSH, 2024); 4046 °F; 2230 °C.
Reported MPs:  3110 °F (NIOSH, 2024); 3110 °F; 1710 °C; 1716 - 1736 °C; 1713 °C","QUARTZ"
"24408","Dark reddish-brown, volatile, mobile diatomic liquid; vaporizes at room temperature.
Dense, dark red, mobile liquid; vaporizes readily at room temperature to give a red vapor.
Suffocating odor.
Bleachy, penetrating.
Reported BPs:  139.2 °F at 760 mmHg (EPA, 1998); 58.8 °C; 139 °F.
Reported MPs:  19 °F (EPA, 1998); -7.2 °C; 19 °F","BROMINE"
"24586","Green-yellow crystals.
Pale green.
Odorless.
Reported BPs:  Decomposes (NTP, 1992).
Reported MPs:  1558 °F (decomposes) (NTP, 1992); Decomposes @ 840 °C; No melting point; decomposes at 848 °C.
When heated to decomp it emits very toxic fumes of /sulfur oxides/..
Toxic gases and vapors (such as nickel carbonyl) may be released ... in the decomp of nickel cmpd. /Nickel & sol nickel cmpd/.
848 °C. This produces toxic fumes of sulfur trioxide and nickel monoxide. See ICSC 0926. See ICSC 1202. Reacts with oxidants. This generates fire and explosion hazard. The solution in water is a weak acid.","NICKEL SULFATE"
"249266","Clear oil.
... Colorless mobile oil.
Lower chlorinated Aroclors (1221, 1232, 1016, 1242, and 1248) are colorless mobile oils. Increasing chlorine content results in mixtures taking on the consistency of viscous liquids (Aroclor 1254) or sticky resins (Aroclors 1260 and 1262). Arclors 1268 and 1270 are white powders..
Reported BPs:  554 to 617 °F at 760 mmHg (NTP, 1992); 290-325 °C.
When heated to decomposition they emit toxic fumes of Chlorine. /Polychlorinated biphenyls/","MONOCHLOROBIPHENYL"
"24947","Rhombohedral crystals.
Small, white crystals.
Hexagonal, colorless crystals.
Odorless.
Reported BPs:  1760 °F at 760 mmHg (NTP, 1992); 960 °C.
Reported MPs:  1054 °F (NTP, 1992); 568 °C.
When heated to decomposition it emits very toxic fumes of /cadmium and hydrogen chloride/.","CADMIUM CHLORIDE"
"25429","White powder.
Crystalline powder.
Nearly white solid /Technical/.
Light-gray powder.
Off-white, crystalline powder.
Odorless /Technical/.
Reported MPs:  576 to 585 °F (decomposes) (NTP, 1992); Decomposes at 300 °C; MP: 302-307 °C (decomposes); 302 - 307 °C.
Decomposes at 300 °C..
When heated to decomposition it emits toxic fumes of /nitric oxides/..
Slowly decomposed in alkaline soln (22 °C): DT50 >350 days (pH 5 and pH 7), 124 days (pH 9)..
302-307 °C","CARBENDAZIM"
"26710","Black or dark-colored fluffy powder.
Black solid or powder.
Dark brown to black solid..
Odorless.
Reported BPs:  Decomposes (NIOSH, 2024); decomposes; Decomposes.
Reported MPs:  greater than 356 °F (Decomposes) (NIOSH, 2024); 180 °C; >356 °F (decomposes); >356 °F (Decomposes).
When heated to decomposition it emits very toxic fumes of /nitrogen and sulfur oxides./.
...Decomposes above 180 °C.
Decomposes ... in contact with moisture.
180 °C","FERBAM"
"2723650","Needles, prisms from alcohol or amyl alcohol.
White to pale-green crystals.
Faint, amine odor.
Reported BPs:  446 to 595 °F at 760 mmHg (NIOSH, 2024); 446-595 °F.
Reported MPs:  397 to 399 °F (NTP, 1992); 203 °C; ETHYLENE THIOUREA (ETU) IS AVAILABLE IN USA AS WHITE CRYSTALS OR FINELY-GROUND POWDER WITH A MELTING POINT OF 192 °C. IT IS ALSO AVAILABLE IN USA & JAPAN AS A WHITE POWDER WITH A MELTING POINT ABOVE 195 °C. IT IS AVAILABLE IN USA AS WHITE POWDER CONSISTING OF 80% DISPERSION OF ETU IN OIL.; 194 °C; 392 °F.
When heated to decomposition it emits very toxic fumes of /nitroxides/ and /sulfoxides/..
Photolytic degradation is a major pathway for ETU in water, and is enhanced by the presence of photosensitizers such as chlorophyll.","ETHYLENE THIOUREA"
"2730","White granular crystals.
Colorless crystals.
Colorless to white crystalline solid [Note: Commercial formulations may be combined with combustible liquids.].
Mild mercaptan odor.
Reported BPs:  320 °F at 760 mmHg (Decomposes) (NIOSH, 2024); 320 °F (decomp); No boiling point at normal pressure; decomposes at 160 °C; 320 °F (decomposes); 320 °F (Decomposes).
Reported MPs:  108 to 110 °F (NTP, 1992); 41-42 °C; 42 °C; 108 °F.
Decomposition temperature: approx 160 °C.
160 °C. This produces toxic and corrosive fumes including hydrogen chloride, phosgene, phosphorus oxides, nitrogen oxides and sulfur oxides. Attacks copper and brass.","CHLORPYRIFOS"
"28780","White crystalline solid [Note: Decomposes without melting above 572 degrees F]..
Faint, acrid odor..
Reported BPs:  Decomposes (NTP, 1992); decomposes; Decomposes.
Reported MPs:  Decomposes before melting (NTP, 1992); 140 °C (decomposes); 140 °C; No melting point; decomposes at 140 °C; >572 °F (decomposes); >572 °F (Decomposes).
Decomposed by strong acids & strong alkalis. Decomposes slowly in the presence of moisture. In some solvents dissociates to form carbendazin & butyl isocyanate. ... Decomposed on storage in contact with water & under moist conditions in soil..
When heated to decomposition it emits toxic fumes of /nitrogen oxides/..
Decomposes just after melting at 140 °C. /From table/","BENOMYL"
"2912","Viscous semi-solid.
Colorless crystals - pure isomers.
Odorless.
Reported MPs:  70 °C; MP: 60-80 °C (technical); 60-80 °C; 158 °F.
When heated to decomp it emits toxic fumes of /cyanide, nitrogen oxides, chloride/..
220 °C","CYPERMETHRIN"
"29393","Yellow-orange crystals.
No appreciable odor.
Reported BPs:  Decomp @ 265 °C.
Reported MPs:  137-138 °C; Mp: 141-142 °C /Technical oryzalin/.
When heated to decomposition it emits toxic fumes of /nitrogen oxides and sulfur oxides/.","ORYZALIN"
"29575","Reported MPs:  469 to 471 °F (NTP, 1992); 243-244 °C","1,2,3,7,8,9-HEXACHLORODIBENZO-P-DIOXIN"
"299","Crystals.
Tan to white, crystalline solid.
Odorless.
Reported BPs:  Sublimes with decomposition at 662.0 °F (USCG, 1999); Sublimes.
Reported MPs:  662 °F (decomposes) (NTP, 1992); 350 °C (decomp); 662 °F (Sublimes).
Hazardous decomposition products formed under fire conditions - Carbon oxides, hydrogen chloride gas..
Decomposes at 350 °C.","CHLORDECONE (KEPONE)"
"3026","Colorless to faint yellow, oily liquid.
Slight, aromatic odor.
Reported BPs:  644 °F at 760 mmHg (NTP, 1992); 340 °C; 337.00 to 340.00 °C. @ 760.00 mm Hg; 644 °F.
Reported MPs:  -31 °F (NTP, 1992); -35 °C; 35 °C; -31 °F.
When heated to decomp it emits acrid smoke and fumes.","DIBUTYL PHTHALATE"
"3032297","Colorless crystals when pure..
Crystals from water.
Reported MPs:  Decomposes on heating without melting.
Decomposed by light, moisture and heat..
When heated to decomposition it emits very toxic fumes of /nitroxides, sodium oxide/, and /sulfoxides/.","NABAM"
"3032536","Pale-blue hygroscopic leaflets; colorless in very thin layers.
Blue hexagonal leaflets.
Slight sharp odor.
Reported BPs:  1049 °C.
Reported MPs:  187 °F (USCG, 1999); 735 °C.
Dec 400 °C on long heating in air..
When heated to decomp it emits toxic fumes of /hydrogen chloride/","COBALT CHLORIDE"
"3032552","Red to brown gas above 21.1 °C; brown liquid below 21.1 °C; colorless solid at approx -11 °C.
Liquid below 21.15 °C.
Yellowish-brown liquid or reddish-brown gas (above 70 °C) [Note: In solid form (below 15 °F) it is found structurally as N2O4].
Brown gas; equilibrium with N2O4.
Irritating odor.
Sweetish, acrid..
Pungent, acrid odor.
Healthy subjects can detect the odor of NO2, in some cases at concentrations below 188 ug/cu m (0.1 ppm)..
Reported BPs:  70.07 °F at 760 mmHg (EPA, 1998); 21.15 °C; 21.2 °C; 70 °F.
Reported MPs:  15.3 °F (EPA, 1998); -9.3 °C; -11.2 °C; 15 °F.
When heated to decomposition it emits toxic fumes of /nitroxides/..
Decomposes at 160 °C. Decomposes (reacts) with water.","NITROGEN DIOXIDE"
"3032581","Yellow powder; crystals from alcohol.
Brown powder.
Practically odorless.
Reported MPs:  200 °C (decomposes); 392 °F.
Decomposes without melting at 192-204 °C. ... Decomposes on prolonged exposure to air or moisture..
When heated to decomposition it emits highly toxic fumes of /nitroxides and sulfoxides/..
192-204 °C","MANEB"
"3032792","Colorless plates from acetone.
Yellow or yellowish crystalline solid.
Odorless.
Reported MPs:  194 °C (decomposes).
When heated to decomposition it emits very toxic fumes of NOx and SOx /nitrogen oxides and sulfur oxides/.","THIOPHANATE ETHYL"
"3034368","Greyish-yellow free-flowing powder.
Yellowish powder.
Slight odor of hydrogen sulfide.
Practically odorless.
Reported MPs:  172 °C (decomposes).
When heated to decomposition it emits very toxic fumes of sulfur oxides, zinc oxide, and nitrogen oxides..
The substance decomposes slowly on heating or on contact with acids and moisture producing toxic and irritating fumes including sulfur oxides, nitrogen oxides, zinc oxide, manganese oxide, hydrogen sulfide, carbon sulfide, ethylene thiuram sulfide, ethylene bisisothiocyanate, ethylene urea and 2-mercaptoimidazoline.","MANCOZEB"
"3035","White, crystalline solid.
Reported BPs:  601.7 °F at 760 mmHg (NTP, 1992).
Reported MPs:  190 to 194 °F (NTP, 1992); 89 °C.
When heated to decomposition it emits very toxic fumes of /chlorides/.","DDE"
"3036","Biaxial elongated tablets, needles from 95% alcohol.
Chemically pure p,p-DDT consists of white needles.
Colorless crystals or off-white powder ....
Odorless or with slight aromatic odor.
It possesses fruit-like odor.
... Slight, aromatic odor..
Reported BPs:  500 °F at 760 mmHg (NTP, 1992); 260 °C; 186 °C at 0.05 mm Hg; 260 °C; 230 °F (Decomposes).
Reported MPs:  227 to 228 °F (NTP, 1992); 108.5 °C; Waxy solid. MP: indefinite /Technical/; 108.5 - 109 °C; 109 °C; 227 °F.
Decomp at 110 °C; dehydrochlorinates in alkali or org bases when in org solvents.
When heated to decomposition it emits toxic fumes of /chlorides/.","DDT"
"30479","Colorless crytals.
White crystalline solid.
Weak characteristic odor.
Reported BPs:  132 °C @ 2 Pa.
Reported MPs:  257 °F (NIOSH, 2024); 126.2 °C; 125 °C; 257 °F.
When heated to decomposition it emits very toxic fumes of /nitrogen oxides and sulfur oxides/.","METRIBUZIN"
"3082","White crystalline solid.
Colorless crystals (Tech., white solid pellets).
CAMPHOR-LIKE ODOR.
Mercaptan odor.
Reported BPs:  243 °F at 0.1 mmHg (NTP, 1992); 107 °C at 0.05 mm Hg; at 0.01kPa: 117 °C; 243 °F at 0.1 mmHg.
Reported MPs:  125 °F 113 to 117 °F for technical product. (EPA, 1998); 52-52.5 °C; 51-52 °C; 125 °F.
When heated to decomposition it emits very toxic fumes of /nitrogen, phosphorous, and sulfur oxides/..
... Thermal stability ranking of hazardous organic cmpd: rank 235 on a scale of 1 (highest stability) to 320 (lowest stability).","DIMETHOATE"
"3102","Orthorhombic prisms from alcohol (alpha); monoclinic prisms (beta).
Rhombic prisms (stable form), monoclinic prisms (labile form), white crystals.
Geranium-like odor.
Sweet, rose-like odor.
Reported BPs:  582.6 °F at 760 mmHg (NTP, 1992); 305.4 °C; 305.9 °C; 305.00 to 307.00 °C. @ 760.00 mm Hg; 305 °C; 583 °F.
Reported MPs:  alpha-118.6 °F; beta-79 °F; gamma-117 °F. (NTP, 1992); 47.8 °C; 48.5 °C; Melting point: 47 °C (gamma-Benzophenone); 26 °C; 119 °F.
When heated to decomp it emits acrid and irritating fumes..
>320 °C","ALPHA-OXODIPHENYLMETHANE"
"31200","Yellow-brown liquid.
Yellow oily liquid.
Faint characteristic odor.
Reported BPs:  244 °F at 0.05 mmHg (EPA, 1998); BP: 118 °C at 0.05 mm Hg.
Reported MPs:  0.3 °C; 3.4 °C.
140-145 °C","FENITROTHION"
